ID,Start time,Completion time,Language,What of level of data expertise are you interested in reaching?,Which educational resources could you see yourself using?,What subjects are you interested in learning about?
1,5-16-22 13:41:32,5-16-22 13:42:19,,"Data Expert - Become confident in your ability to perform advanced data mining and wrangling of various data types, as well as building sophisticated predictive models and integrations to deliver value from them","LinkedIn Learning (Foundational Concepts);DataCamp (Analysis Using Python, R, or SQL);",Machine Learning;Data Wrangling / Cleaning;
2,5-16-22 13:41:40,5-16-22 13:42:23,,"Data Expert - Become confident in your ability to perform advanced data mining and wrangling of various data types, as well as building sophisticated predictive models and integrations to deliver value from them","LinkedIn Learning (Foundational Concepts);Excel Training;Power BI Training;DataCamp (Analysis Using Python, R, or SQL);MS Power Platform Training ;",Data Wrangling / Cleaning;Data Visualization;Exploratory Data Analysis;Machine Learning;Data Mining;Continuous Delivery / Deployment;CI continuous implementation ;
3,5-16-22 13:42:29,5-16-22 13:42:48,,"Data Expert - Become confident in your ability to perform advanced data mining and wrangling of various data types, as well as building sophisticated predictive models and integrations to deliver value from them",Excel Training;,Data Mining;Machine Learning;Exploratory Data Analysis;Continuous Delivery / Deployment;Data Visualization;Data Wrangling / Cleaning;
4,5-16-22 13:42:29,5-16-22 13:42:49,,"Data Expert - Become confident in your ability to perform advanced data mining and wrangling of various data types, as well as building sophisticated predictive models and integrations to deliver value from them","DataCamp (Analysis Using Python, R, or SQL);MS Power Platform Training ;Power BI Training;Excel Training;LinkedIn Learning (Foundational Concepts);",Machine Learning;Data Mining;Continuous Delivery / Deployment;Data Wrangling / Cleaning;Data Visualization;Exploratory Data Analysis;
5,5-16-22 13:42:31,5-16-22 13:43:10,,Data Practitioner - Become confident in your ability to analyze the basic structure and composition of relevant datasets and different data types,"Power BI Training;MS Power Platform Training ;Excel Training;LinkedIn Learning (Foundational Concepts);DataCamp (Analysis Using Python, R, or SQL);",Data Wrangling / Cleaning;Data Visualization;Exploratory Data Analysis;Data Mining;
6,5-16-22 13:42:29,5-16-22 13:43:25,,"Data Adept - Become confident in your ability to mine data and perform transformation, as well as generate relevant visualizations and analysis ","LinkedIn Learning (Foundational Concepts);Excel Training;Power BI Training;DataCamp (Analysis Using Python, R, or SQL);MS Power Platform Training ;",Data Visualization;Exploratory Data Analysis;
7,5-16-22 13:42:43,5-16-22 13:43:33,,"Data Expert - Become confident in your ability to perform advanced data mining and wrangling of various data types, as well as building sophisticated predictive models and integrations to deliver value from them","Power BI Training;DataCamp (Analysis Using Python, R, or SQL);MS Power Platform Training ;",Machine Learning;Data Mining;Data Visualization;Exploratory Data Analysis;Data Wrangling / Cleaning;
8,5-16-22 13:44:32,5-16-22 13:45:01,,"Data Expert - Become confident in your ability to perform advanced data mining and wrangling of various data types, as well as building sophisticated predictive models and integrations to deliver value from them","DataCamp (Analysis Using Python, R, or SQL);MS Power Platform Training ;",Exploratory Data Analysis;Data Mining;
9,5-16-22 13:44:15,5-16-22 13:45:06,,"Data Expert - Become confident in your ability to perform advanced data mining and wrangling of various data types, as well as building sophisticated predictive models and integrations to deliver value from them","LinkedIn Learning (Foundational Concepts);Power BI Training;Excel Training;DataCamp (Analysis Using Python, R, or SQL);MS Power Platform Training ;",Data Wrangling / Cleaning;Machine Learning;Data Mining;Continuous Delivery / Deployment;
10,5-16-22 13:44:33,5-16-22 13:45:11,,"Data Adept - Become confident in your ability to mine data and perform transformation, as well as generate relevant visualizations and analysis ","LinkedIn Learning (Foundational Concepts);Excel Training;Power BI Training;DataCamp (Analysis Using Python, R, or SQL);MS Power Platform Training ;",Data Visualization;Exploratory Data Analysis;
