ID,Start time,Completion time,Meeting day(s):,Meeting length:,Meeting time range(s):,Meeting frequency:
1,5-16-22 13:44:37,5-16-22 13:45:10,Monday;Wednesday;Tuesday;,30 Minutes;45 Minutes;1 Hour;,Afternoon (3PM - 5PM EST);,Biweekly (every two weeks);Monthly;Bimonthly (every two months);
2,5-16-22 13:58:49,5-16-22 13:59:36,Tuesday;Wednesday;Thursday;,30 Minutes;45 Minutes;1 Hour;,Early Afternoon (1PM- 3PM EST);,Monthly;Bimonthly (every two months);Biweekly (every two weeks);
3,5-16-22 13:59:29,5-16-22 14:00:23,Monday;Tuesday;Wednesday;Thursday;Friday;,30 Minutes;45 Minutes;1 Hour;,Late Morning (10AM - 12PM EST);Early Afternoon (1PM- 3PM EST);Afternoon (3PM - 5PM EST);,Biweekly (every two weeks);Monthly;Bimonthly (every two months);
4,5-16-22 13:59:37,5-16-22 14:00:24,Wednesday;Thursday;Tuesday;,30 Minutes;45 Minutes;1 Hour;,Morning (8AM - 10AM EST);Late Morning (10AM - 12PM EST);,Biweekly (every two weeks);Monthly;Bimonthly (every two months);
5,5-16-22 13:59:58,5-16-22 14:00:35,Monday;Tuesday;,45 Minutes;1 Hour;30 Minutes;,Late Morning (10AM - 12PM EST);,Biweekly (every two weeks);Monthly;Bimonthly (every two months);
6,5-16-22 13:59:34,5-16-22 14:00:42,Monday;Friday;,1 Hour;45 Minutes;30 Minutes;,Afternoon (3PM - 5PM EST);Early Afternoon (1PM- 3PM EST);,Biweekly (every two weeks);Monthly;Bimonthly (every two months);
7,5-16-22 15:42:05,5-16-22 15:43:18,Tuesday;Wednesday;,45 Minutes;30 Minutes;1 Hour;,Early Afternoon (1PM- 3PM EST);Late Morning (10AM - 12PM EST);,Biweekly (every two weeks);Monthly;Bimonthly (every two months);
8,5-17-22 1:34:23,5-17-22 1:36:14,Monday;Tuesday;Wednesday;,30 Minutes;45 Minutes;1 Hour;,Morning (8AM - 10AM EST);Early Afternoon (1PM- 3PM EST);,Monthly;Biweekly (every two weeks);Bimonthly (every two months);
9,5-20-22 6:36:35,5-20-22 6:37:19,Monday;Tuesday;Wednesday;Thursday;Friday;,30 Minutes;45 Minutes;1 Hour;,Morning (8AM - 10AM EST);Late Morning (10AM - 12PM EST);,Biweekly (every two weeks);Monthly;Bimonthly (every two months);
10,5-20-22 6:36:36,5-20-22 6:37:21,Monday;Tuesday;Friday;,45 Minutes;1 Hour;30 Minutes;,Morning (8AM - 10AM EST);Early Afternoon (1PM- 3PM EST);,Monthly;Biweekly (every two weeks);Bimonthly (every two months);
11,5-20-22 6:36:50,5-20-22 6:37:24,Tuesday;Wednesday;Thursday;,1 Hour;45 Minutes;30 Minutes;,Morning (8AM - 10AM EST);Late Morning (10AM - 12PM EST);,Biweekly (every two weeks);Monthly;Bimonthly (every two months);
12,5-20-22 6:36:51,5-20-22 6:37:39,Friday;,30 Minutes;45 Minutes;1 Hour;,Morning (8AM - 10AM EST);,Biweekly (every two weeks);Monthly;Bimonthly (every two months);
13,5-20-22 6:37:07,5-20-22 6:37:39,Friday;Monday;,30 Minutes;45 Minutes;1 Hour;,Morning (8AM - 10AM EST);Late Morning (10AM - 12PM EST);,Biweekly (every two weeks);Monthly;Bimonthly (every two months);
14,5-20-22 6:36:37,5-20-22 6:37:45,Monday;Tuesday;Wednesday;Thursday;Friday;,1 Hour;45 Minutes;30 Minutes;,Late Morning (10AM - 12PM EST);Early Afternoon (1PM- 3PM EST);Afternoon (3PM - 5PM EST);,Biweekly (every two weeks);Monthly;Bimonthly (every two months);
15,5-20-22 6:36:54,5-20-22 6:37:46,Monday;Tuesday;Wednesday;Thursday;,45 Minutes;1 Hour;30 Minutes;,Afternoon (3PM - 5PM EST);Early Afternoon (1PM- 3PM EST);,Monthly;Biweekly (every two weeks);Bimonthly (every two months);
16,5-20-22 6:41:38,5-20-22 6:42:17,Wednesday;Thursday;Friday;,30 Minutes;45 Minutes;1 Hour;,Morning (8AM - 10AM EST);Afternoon (3PM - 5PM EST);,Biweekly (every two weeks);Monthly;Bimonthly (every two months);
17,5-20-22 8:54:02,5-20-22 8:59:13,Friday;Monday;,30 Minutes;45 Minutes;1 Hour;,Morning (8AM - 10AM EST);,Biweekly (every two weeks);Monthly;Bimonthly (every two months);
18,5-27-22 22:28:01,5-27-22 22:28:51,Wednesday;Thursday;Friday;,1 Hour;45 Minutes;30 Minutes;,Afternoon (3PM - 5PM EST);,Biweekly (every two weeks);Monthly;Bimonthly (every two months);
19,6-9-22 16:07:39,6-9-22 16:08:03,Tuesday;Wednesday;Thursday;,30 Minutes;45 Minutes;1 Hour;,Early Afternoon (1PM- 3PM EST);,Monthly;Biweekly (every two weeks);Bimonthly (every two months);
20,7-12-22 8:34:09,7-12-22 8:34:36,Monday;Tuesday;,30 Minutes;45 Minutes;1 Hour;,Morning (8AM - 10AM EST);Late Morning (10AM - 12PM EST);Early Afternoon (1PM- 3PM EST);,Biweekly (every two weeks);Monthly;Bimonthly (every two months);
